2017001,2017001,5,"LINESTRING(-13154487.6247424 4037794.28520144, 0 0)"
2017001,2017002,6,"LINESTRING(-13154487.6247424 4037794.28520144, -13155446.3085688 4037633.22893628)"
2017001,5304002,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13152775.4407916 4033953.72173186)"
2017001,5308013,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13156574.4488801 4035973.15356064)"
2017001,5308014,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13156483.8636719 4035317.08946272)"
2017001,5308021,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13156018.7688231 4035610.90183857)"
2017001,5308022,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13155719.2228392 4036092.50389032)"
2017001,5309022,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155759.1925655 4034701.76326806)"
2017001,5310001,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155264.4557017 4034641.15175318)"
2017001,5310003,4,"LINESTRING(-13154487.6247424 4037794.28520144, -13154906.5405072 4034198.80979114)"
2017001,5311021,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155884.5815646 4033955.21897396)"
2017001,5312022,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13156115.0840432 4032263.90215829)"
2017001,5315024,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13154557.4734377 4031462.6761171)"
2017001,5316031,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13153654.0542616 4033067.60262599)"
2017001,5318003,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13150659.1358768 4031076.36916559)"
2017001,5338062,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13154655.0321683 4025864.91171524)"
2017001,4820022,4,"LINESTRING(-13154487.6247424 4037794.28520144, -13152129.1349546 4034696.62488602)"
2017001,5306011,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13155177.8596087 4036476.26047779)"
2017001,5306012,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155311.5673604 4035671.31861046)"
2017001,5306021,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13154806.5750535 4035891.81647595)"
2017001,5308011,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13156902.2806935 4035178.6616048)"
2017001,5311022,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155964.1062199 4033417.19200704)"
2017001,5312021,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13156813.2522891 4032252.55465132)"
2017001,5315023,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13154487.2846575 4031738.62892603)"
2017001,5316032,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13153700.3155604 4032614.93094997)"
2017001,5323022,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155693.2945258 4030091.51325518)"
2017001,2039002,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13157334.8210306 4033255.07325069)"
2017001,5303022,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13152089.7099597 4032094.77461255)"
2017001,5304001,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13153462.3043168 4034264.82853509)"
2017001,5310002,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13155275.599268 4033980.4879559)"
2017001,5311011,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13156799.3726157 4033465.71186469)"
2017001,5315042,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13154429.7383758 4032176.70801471)"
2017001,5316021,2,"LINESTRING(-13154487.6247424 4037794.28520144, -13153737.59654 4031340.78082643)"
2017001,5333001,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13158321.4540325 4027674.60365663)"
2017001,5334013,1,"LINESTRING(-13154487.6247424 4037794.28520144, -13157620.1403775 4027885.62070746)"
2017001,5335031,3,"LINESTRING(-13154487.6247424 4037794.28520144, -13156958.7174612 4026865.19140909)"
2017002,2017001,1,"LINESTRING(-13155446.3085688 4037633.22893628, -13154487.6247424 4037794.28520144)"
2017002,4820011,1,"LINESTRING(-13155446.3085688 4037633.22893628, -13153440.4821418 4036083.1364085)"
2017002,4820012,2,"LINESTRING(-13155446.3085688 4037633.22893628, -13153656.1320012 4036784.97108089)"
2017002,5306021,1,"LINESTRING(-13155446.3085688 4037633.22893628, -13154806.5750535 4035891.81647595)"
2039002,5306012,1,"LINESTRING(-13157334.8210306 4033255.07325069, -13155311.5673604 4035671.31861046)"
2039002,5333002,1,"LINESTRING(-13157334.8210306 4033255.07325069, -13158160.2812664 4027966.37412895)"
4820011,2017002,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13155446.3085688 4037633.22893628)"
4820011,4820012,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13153656.1320012 4036784.97108089)"
4820011,4820022,3,"LINESTRING(-13153440.4821418 4036083.1364085, -13152129.1349546 4034696.62488602)"
4820011,5316032,3,"LINESTRING(-13153440.4821418 4036083.1364085, -13153700.3155604 4032614.93094997)"
4820011,5320011,2,"LINESTRING(-13153440.4821418 4036083.1364085, -13149273.7514387 4030339.88544713)"
4820011,5309011,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13156744.3450553 4034376.09320778)"
4820011,5303011,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13152814.5525489 4032876.05886213)"
4820011,5303012,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13153172.6476465 4032618.48595121)"
4820011,5308021,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13156018.7688231 4035610.90183857)"
4820011,5309013,1,"LINESTRING(-13153440.4821418 4036083.1364085, -13156449.9315571 4034723.50197926)"
