OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
"3168","060375337011","5337011","533701",0.052800000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.423828125000000,5470.574470894666774,,,"60375337011","60375337011",683.743,"Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,"3168","5337011","533701",0.052800000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,1470808.423828125000000,5470.574470894666774,,,"60375337011","60375337011","Block Group 1, Census Tract 5337.01, Los Angeles County, California","1223","454","769",,Long Beach Fwy,0.559069963703172,12.000000000000000,1239.444
"4745","060375333002","5333002","533300",0.073500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.204101562500000,6137.491388503288363,,,"60375333002","60375333002",4650.069,"Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,"4745","5333002","533300",0.073500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2049912.204101562500000,6137.491388503288363,,,"60375333002","60375333002","Block Group 2, Census Tract 5333, Los Angeles County, California","2041","748","1293",,I- 710,2.278328929462333,8.000000000000000,1991.816
"4746","060375334031","5334031","533403",0.103800000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2892715.219726562500000,8344.082907612415511,,,"60375334031","60375334031",1783.596,"Block Group 1, Census Tract 5334.03, Los Angeles County, California","1789","576","1213",,"4746","5334031","533403",0.103800000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2892715.219726562500000,8344.082907612415511,,,"60375334031","60375334031","Block Group 1, Census Tract 5334.03, Los Angeles County, California","1789","576","1213",,Long Beach Fwy,0.996979289878537,12.000000000000000,1778.347
"4749","060375334011","5334011","533401",0.099900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2783952.305664062500000,9351.663309725629006,,,"60375334011","60375334011",3923.802,"Block Group 1, Census Tract 5334.01, Los Angeles County, California","2414","817","1597",,"4749","5334011","533401",0.099900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,2783952.305664062500000,9351.663309725629006,,,"60375334011","60375334011","Block Group 1, Census Tract 5334.01, Los Angeles County, California","2414","817","1597",,I- 710,1.625435857655839,22.000000000000000,2495.130
"5970","060375334012","5334012","533401",0.035500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,989955.968750000000000,5664.677643447293121,,,"60375334012","60375334012",901.297,"Block Group 2, Census Tract 5334.01, Los Angeles County, California","824","275","549",,"5970","5334012","533401",0.035500000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,989955.968750000000000,5664.677643447293121,,,"60375334012","60375334012","Block Group 2, Census Tract 5334.01, Los Angeles County, California","824","275","549",,Long Beach Fwy,1.093806809222976,10.000000000000000,833.561
"4517","060375334021","5334021","533402",0.111900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,3119297.111328125000000,7115.707625277939769,,,"60375334021","60375334021",4462.804,"Block Group 1, Census Tract 5334.02, Los Angeles County, California","2269","795","1474",,"4517","5334021","533402",0.111900000000000,BG 1,"46492","46492",Maywood,Maywood,City of Maywood,3119297.111328125000000,7115.707625277939769,,,"60375334021","60375334021","Block Group 1, Census Tract 5334.02, Los Angeles County, California","2269","795","1474",,I- 710,1.966859252997108,12.000000000000000,2247.169
"4976","060375335011","5335011","533501",0.072900000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2033320.219726562500000,5844.412499422186556,,,"60375335011","60375335011",3724.710,"Block Group 1, Census Tract 5335.01, Los Angeles County, California","1628","575","1053",,"4976","5335011","533501",0.072900000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,2033320.219726562500000,5844.412499422186556,,,"60375335011","60375335011","Block Group 1, Census Tract 5335.01, Los Angeles County, California","1628","575","1053",,Long Beach Fwy,2.287905564283972,12.000000000000000,1638.989
"4979","060375335031","5335031","533503",0.040100000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1117705.513671875000000,4386.304090877059934,,,"60375335031","60375335031",2054.642,"Block Group 1, Census Tract 5335.03, Los Angeles County, California","1278","447","831",,"4979","5335031","533503",0.040100000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1117705.513671875000000,4386.304090877059934,,,"60375335031","60375335031","Block Group 1, Census Tract 5335.03, Los Angeles County, California","1278","447","831",,I- 710,1.607700914173762,9.000000000000000,1285.038
"5782","060375334022","5334022","533402",0.075600000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2108012.288085937500000,5824.318938989677918,,,"60375334022","60375334022",2067.886,"Block Group 2, Census Tract 5334.02, Los Angeles County, California","1375","433","942",,"5782","5334022","533402",0.075600000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2108012.288085937500000,5824.318938989677918,,,"60375334022","60375334022","Block Group 2, Census Tract 5334.02, Los Angeles County, California","1375","433","942",,I- 710,1.503917337502557,12.000000000000000,1382.891
"5785","060375337012","5337012","533701",0.101900000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2839855.865234375000000,6856.907359857152187,,,"60375337012","60375337012",1828.190,"Block Group 2, Census Tract 5337.01, Los Angeles County, California","2267","876","1391",,"5785","5337012","533701",0.101900000000000,BG 2,"46492","46492",Maywood,Maywood,City of Maywood,2839855.865234375000000,6856.907359857152187,,,"60375337012","60375337012","Block Group 2, Census Tract 5337.01, Los Angeles County, California","2267","876","1391",,Long Beach Fwy,0.806435757195303,24.000000000000000,2351.664
"6135","060375334013","5334013","533401",0.048200000000000,BG 3,"46492","46492",Maywood,Maywood,City of Maywood,1342375.346679687500000,5314.947989102081010,,,"60375334013","60375334013",2410.162,"Block Group 3, Census Tract 5334.01, Los Angeles County, California","1298","439","859",,"6135","5334013","533401",0.048200000000000,BG 3,"46492","46492",Maywood,Maywood,City of Maywood,1342375.346679687500000,5314.947989102081010,,,"60375334013","60375334013","Block Group 3, Census Tract 5334.01, Los Angeles County, California","1298","439","859",,Long Beach Fwy,1.856827321784536,14.000000000000000,1324.554
"6156","060375335021","5335021","533502",0.055600000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1549945.254882812500000,4983.408309282105620,,,"60375335021","60375335021",2492.096,"Block Group 1, Census Tract 5335.02, Los Angeles County, California","1315","458","857",,"6156","5335021","533502",0.055600000000000,BG 1,"36056","36056",Huntington Park,Huntington Park,City of Huntington Park,1549945.254882812500000,4983.408309282105620,,,"60375335021","60375335021","Block Group 1, Census Tract 5335.02, Los Angeles County, California","1315","458","857",,I- 710,1.895130138046122,6.000000000000000,1270.661
