1011101,155
1031012,69
3010001,94
5032011,83
1011221,168
1034004,68
3023012,172
0009011,173
1064081,286
3025032,134
1012101,241
1012202,207
3001004,92
3005013,90
3006002,49
3109006,76
1011102,169
1012201,105
3020041,411
0043011,47
1011103,83
1390012,108
2411101,160
3002002,63
3017011,113
4605013,152
1014002,134
1031022,55
1031025,83
1032003,197
1034005,168
1134222,222
1192021,79
1210103,102
1210104,120
1232033,95
1234101,289
1275202,154
1340022,183
1434003,72
1437001,163
1910002,244
2765002,163
3010002,115
3012061,158
3019004,199
3020022,185
3025043,111
3102014,186
3107023,227
4315024,64
4329021,53
4620023,79
1011222,88
1060202,279
1216001,200
1321013,92
1351113,63
1908011,143
2612002,65
3006004,109
3006005,89
3022024,60
3025031,173
3025041,198
3025052,78
4605012,48
9107151,148
9203134,162
9203262,289
0082063,8
1220001,191
3005012,40
3017023,76
4043012,148
4317004,50
9108052,163
4403073,4
1175201,344
1320023,115
2766014,71
5536021,254
1012102,253
1031011,149
1325022,131
2349021,105
9200281,460
1199001,115
1097002,155
1212221,267
3018022,166
3021031,148
1034003,56
3016021,175
3013002,85
0052044,18
1153021,423
1245002,127
4030003,136
9103011,195
1032001,122
1032002,152
1041241,181
1043201,200
1154012,283
1197001,149
1212101,186
1220003,84
1252001,152
6704061,171
1103031,91
0097131,46
0080002,4
1013001,83
1013004,51
1031021,74
1031023,101
1031024,76
1034001,83
1041052,381
1043204,82
1047041,384
1061141,411
1064053,124
1066461,132
1066481,273
1066482,117
1066491,127
1070201,361
1082011,125
1112011,74
1112023,182
1113011,151
1113012,156
1113013,186
1113014,120
1132111,127
1133211,323
1134211,140
1152022,174
1152023,156
1171022,142
1172021,103
1172022,74
1174081,282
1175302,259
1193101,168
1194001,84
1201082,223
1203001,93
1210101,109
1210102,145
1211021,60
1211023,119
1212102,93
1212223,117
1218012,118
1218021,83
1218022,93
1219002,141
1221202,219
1224202,345
1232041,269
1232061,269
1233012,250
1234201,215
1239011,284
1242012,135
1245001,101
1247002,114
1249031,278
1254012,424
1272101,111
1313001,113
1318001,165
1320021,81
1330002,149
1330003,111
1393031,258
1837022,100
1882012,111
1896002,97
1944021,110
2017001,137
2060201,228
2181102,102
2283102,114
2374022,120
2396012,181
2414002,154
2695001,35
2697001,162
3002001,72
3002003,46
3004003,61
3009022,89
3010003,95
3011004,43
3011006,106
3012062,89
3013001,63
3015021,130
3015022,263
3016013,153
3017012,124
3021023,108
3021043,164
3022023,74
3025033,92
3102011,52
3106022,152
3202022,145
3202023,103
4622011,88
4622013,115
4821013,137
5521002,90
6099001,107
9003001,459
9103012,133
9105041,130
9106013,207
9106034,154
9107161,192
9200172,152
9203364,130
9800261,30
0117152,100
0525261,37
0877033,33
0456044,42
0051022,4
0018082,36
0034014,50
0035061,20
0035101,48
0062011,59
0066031,46
0104112,56
0133111,32
0133141,140
0134162,18
0011012,214
0012021,135
0023003,39
0075071,76
1014003,109
1081031,117
2393202,158
2430004,144
3106021,106
4636021,71
9011021,172
3018012,191
1064051,118
2051101,328
3007021,150
3007022,153
3010004,107
3012031,129
4606003,55
0023004,40
0083043,69
3018011,75
1082012,164
1065202,157
1097001,102
1211012,148
3008002,89
3009021,49
3021032,208
3102012,104
4803032,231
4816062,152
9010081,137
9104031,170
9106011,113
9107153,187
9201111,101
0123011,43
1046201,118
1064033,132
1064072,86
1065201,209
1066423,62
1098001,84
1098004,104
1112041,166
1113021,113
1131011,108
1132322,99
1154042,147
1172011,253
1172012,111
1194004,127
1201051,163
1203002,139
1219001,187
1221223,94
1275201,174
1313004,100
1325021,198
1835101,54
1871011,102
1905201,150
1907003,148
1941011,291
1991202,147
2042002,144
2051202,111
2423001,202
2640002,71
2674021,257
3114001,88
4012031,177
4065002,114
4081341,170
4308024,49
4603013,57
4634004,138
4800021,39
4806001,72
4808041,216
4822011,103
5010022,45
5034015,102
